ID,E04,Registration Status,Admissions Status,Matriculation Status,Attendance Status,Class Level,Total Credits Enrolled,County,School,Program,Degree,Major,Major_Desc,Program,Concentration,age,Housing,Ethnicity_ALL,BannerTerm,Residency
133351,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,16,Monmouth,SOBL,POLS,BA,POLS,Political Science,POLS,PREL,24,,Asian,202320,R
133353,Male,Transfer,Transfer,Degree-Seeking,FT,Junior,12,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,28,,Caucasian or White,202320,N
132876,Male,Transfer,Transfer,Degree-Seeking,FT,Senior,18,Not NJ Resident,HLTH,NURSING-PREL,BSN,NRS4,"Nursing, Pre-Licensure",NURSING-PREL,NUAC,27,,Asian,202320,R
132892,Male,Transfer,Transfer,Degree-Seeking,FT,Senior,12,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,33,,Asian,202320,R
133168,Male,Transfer,Transfer,Degree-Seeking,FT,Senior,18,Atlantic,HLTH,NURSING-PREL,BSN,NRS4,"Nursing, Pre-Licensure",NURSING-PREL,NUAC,29,,Caucasian or White,202320,R
133361,Male,Transfer,Transfer,Degree-Seeking,FT,Senior,14,Atlantic,ARHU,ARTV-BFA,BFA,ARTV,Visual Arts,ARTV-BFA,STUA,58,,Caucasian or White,202320,R
132987,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,16,Atlantic,UNDC,UNDC,U,0,Undeclared,UNDC,GENE,22,,Hispanic or Latino,202320,R
133037,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,12,Atlantic,UNDC,UNDC,U,0,Undeclared,UNDC,GENE,21,,Caucasian or White,202320,R
133159,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,16,Cape May,NAMS,ENVL_BS,BS,ENSC,Environmental Science,ENVL_BS,GENE,19,Y,Caucasian or White,202320,R
133336,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,16,Ocean,BUSN,CSCI,BS,INSY,Computer Information Systems,INSY,GENE,24,,Asian,202320,R
132957,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,15,Atlantic,NAMS,MATH-BS,BS,MATH,Mathematics,MATH-BS,GENE,23,,Hispanic or Latino,202320,R
133000,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,12,Atlantic,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,23,,Caucasian or White,202320,R
133008,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,16,Atlantic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FIN,22,,Hispanic or Latino,202320,R
133009,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,12,Atlantic,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MGMT,25,,Caucasian or White,202320,R
133018,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,16,Atlantic,ARHU,HIST,BA,HIST,Historical Studies,HIST,EDUC,21,,Caucasian or White,202320,R
133028,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,20,Ocean,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,ACCT,19,,Caucasian or White,202320,R
133051,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,16,Ocean,HLTH,EXSC-BS,BS,EXSC,Exercise Science,EXSC-BS,GENE,21,,Caucasian or White,202320,R
133053,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,12,Ocean,SOBL,SOWK,BS,SOWK,Social Work,SOWK,GENE,22,,Caucasian or White,202320,R
133055,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,16,Ocean,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,MKTG,22,,Hispanic or Latino,202320,R
133057,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,13,Atlantic,GENS,LIBA,BA,LIBA,Liberal Studies,LIBA,ELEM,22,,Caucasian or White,202320,R
133061,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,16,Ocean,BUSN,CSCI,BS,CSCI,Computer Science,CSCI,GENE,24,,Caucasian or White,202320,R
133083,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,20,Ocean,BUSN,BUSN-BS,BS,BSNS,Business Studies,BUSN-BS,FIN,21,,Caucasian or White,202320,R
133102,Male,Transfer,Transfer,Degree-Seeking,FT,Sophomore,14,Atlantic,HLTH,EXSC-BS,BS,EXSC,Exercise Science,EXSC-BS,GENE,34,,Caucasian or White,202320,R
